Car Url,Location,Views,brand,car_id,price,verify_tag,mileage,year,color,video,ask_num,car_location,seller_info,equipment,scrape_time
https://auto.8891.com.tw/usedauto-infos-3895014.html?display__sale_code=9005002&flow_id=c1cf6521-fd07-47e2-9f16-75f4d57d0779,台中市,921次瀏覽,五十鈴/Isuzu,S3895014,136.8萬,N,8萬公里,2021年,白色,N,6,台中市霧峰區中投西路二段402號,松順汽車,[],2.8351616859436035
https://auto.8891.com.tw/usedauto-infos-3864019.html?display__sale_code=9005002&flow_id=757a9f05-b042-4c27-b1e6-60e6eb498238,台中市,728次瀏覽,五十鈴/Isuzu,S3864019,89.8萬,N,20萬公里,2020年,藍色,N,Not found,台中市霧峰區中投西路二段402號,松順汽車,[],3.3257598876953125
https://auto.8891.com.tw/usedauto-infos-3975149.html?display__sale_code=9005002&flow_id=55c422bc-1c4a-43eb-9a37-8b57e8916091,台中市,227次瀏覽,五十鈴/Isuzu,S3975149,118.8萬,N,8.7萬公里,2020年,藍色,N,Not found,台中市霧峰區中投西路二段402號,松順汽車,[],2.79335880279541
https://auto.8891.com.tw/usedauto-infos-3777453.html?display__sale_code=9005001&flow_id=8d33eefe-08c9-4516-af28-0115aa91aa90,台中市,1086次瀏覽,五十鈴/Isuzu,S3777453,19.8萬,Not found,18萬公里,1998年,藍色,N,11,台中市潭子區崇德路4段268號,8891嚴選SUM-永貿汽車,[],2.9735488891601562
https://auto.8891.com.tw/usedauto-infos-3791168.html?display__sale_code=9005001&flow_id=34c5d821-400f-405b-bb4d-b110bb752b04,台中市,1147次瀏覽,五十鈴/Isuzu,S3791168,29.8萬,Not found,50萬公里,2005年,白色,N,9,台中市潭子區崇德路4段268號,8891嚴選SUM-永貿汽車,[],2.9395058155059814
https://auto.8891.com.tw/usedauto-infos-3982234.html?display__sale_code=9005001&flow_id=2fbcd1d6-5655-45fa-8fbd-83224b13f629,台中市,107次瀏覽,五十鈴/Isuzu,S3982234,70.8萬,Y,22萬公里,2014年,白色,Y,Not found,台中市豐原區豐原大道七段495號,阿璋三噸半,"['防盜系統', '中控鎖', 'ABS防鎖死', '倒車雷達']",3.536076545715332
https://auto.8891.com.tw/usedauto-infos-3949048.html?display__sale_code=9005001&flow_id=4cc95938-7c43-4040-aa8f-db0078892ffe,台中市,273次瀏覽,五十鈴/Isuzu,S3949048,83.8萬,Y,10萬公里,2017年,白色,Y,4,台中市豐原區豐原大道七段495號,阿璋三噸半,"['防盜系統', '中控鎖', 'ABS防鎖死', '倒車顯影系統']",3.21870493888855
https://auto.8891.com.tw/usedauto-infos-3922513.html?display__sale_code=9005001&flow_id=cb59af42-cc41-4fbd-bc3c-3d4d401cc141,台中市,817次瀏覽,五十鈴/Isuzu,S3922513,133.8萬,Not found,2萬公里,2022年,白色,N,6,台中市潭子區崇德路4段268號,8891嚴選SUM-永貿汽車,[],11.968329906463623
https://auto.8891.com.tw/usedauto-infos-3995987.html?display__sale_code=&flow_id=c432ec8f-aaf7-4dcb-be98-b834849f935f,台中市,11次瀏覽,五十鈴/Isuzu,S3995987,99.9萬,Not found,13.9萬公里,2019年,白色,N,Not found,台中市大里區大智路812號,8891嚴選來爾富中古車商行,"['動態穩定系統', '防盜系統', '循跡系統', '中控鎖', '剎車輔助系統', '兒童安全椅固定裝置', 'ABS防鎖死', '倒車顯影系統', '真皮/皮革座椅']",2.8577020168304443
https://auto.8891.com.tw/usedauto-infos-3995262.html?display__sale_code=&flow_id=ed3ec807-3b2f-4475-ae45-1dac8a36cd53,彰化縣,11次瀏覽,五十鈴/Isuzu,S3995262,88.8萬,N,26.44萬公里,2018年,白色,N,Not found,彰化縣埔心鄉中正路一段499號,中美汽車商行,"['中控鎖', 'ABS防鎖死']",3.8032922744750977
https://auto.8891.com.tw/usedauto-infos-3993476.html?display__sale_code=&flow_id=f4c662be-2678-41a2-a8b1-4d9ed6059993,新北市,46次瀏覽,五十鈴/Isuzu,S3993476,118萬,N,7800公里,2020年,白色,N,Not found,新北市板橋區,張先生 （代理人賣家）,"['動態穩定系統', '防盜系統', '循跡系統', '中控鎖', '剎車輔助系統', '安全氣囊', '倒車顯影系統', '倒車雷達']",3.408278226852417
https://auto.8891.com.tw/usedauto-infos-3965874.html?display__sale_code=&flow_id=0696ec9c-7c2f-47d9-afee-adb3fe34e6f9,台中市,124次瀏覽,五十鈴/Isuzu,S3965874,電洽,N,21.47萬公里,2007年,藍色,N,Not found,台中市潭子區崇德路4段327號,,[],11.723740577697754
https://auto.8891.com.tw/usedauto-infos-3990719.html?display__sale_code=&flow_id=cad8b585-d2d8-4c51-8742-107b64bb5141,台中市,27次瀏覽,五十鈴/Isuzu,S3990719,36.8萬,N,19.5萬公里,2006年,黃色,N,Not found,台中市烏日區新興路257號,鴻興汽車商行,[],3.8313963413238525
https://auto.8891.com.tw/usedauto-infos-3987725.html?display__sale_code=&flow_id=12730371-c363-4e36-8c41-e717c56e624c,南投縣,64次瀏覽,五十鈴/Isuzu,S3987725,88.9萬,Not found,14.08萬公里,2016年,白色,N,3,南投縣南投市東閔路950號,8891嚴選HOT東樺汽車,"['防盜系統', '中控鎖', '倒車顯影系統']",4.2910661697387695
https://auto.8891.com.tw/usedauto-infos-3987724.html?display__sale_code=&flow_id=7bbda11f-f89c-49c2-8c87-a4b8f3a43420,南投縣,39次瀏覽,五十鈴/Isuzu,S3987724,39.9萬,Not found,17.11萬公里,2006年,藍色,N,Not found,南投縣南投市東閔路950號,8891嚴選HOT東樺汽車,[],2.907472848892212
https://auto.8891.com.tw/usedauto-infos-3986443.html?display__sale_code=&flow_id=e4de94dc-a51f-457d-a7c6-fb1f99cdc453,桃園市,69次瀏覽,五十鈴/Isuzu,S3986443,159萬,N,7.29萬公里,2022年,白色,N,Not found,桃園市平鎮區延平路2段201號,SUM模範店鎮平車業,"['中控鎖', '倒車顯影系統']",4.173548221588135
https://auto.8891.com.tw/usedauto-infos-3984018.html?display__sale_code=&flow_id=0b338b70-6fd8-487f-a350-2deb1f9c2e8d,新北市,98次瀏覽,五十鈴/Isuzu,S3984018,71萬,N,5萬公里,2014年,藍色,N,Not found,新北市樹林區俊英街24-2,金宏汽車,[],2.9382197856903076
https://auto.8891.com.tw/usedauto-infos-3983356.html?display__sale_code=&flow_id=9cc4bad3-d035-4266-8c7d-3a78dbdb5424,台中市,89次瀏覽,五十鈴/Isuzu,S3983356,39.9萬,N,26.3萬公里,2007年,藍色,N,Not found,台中市沙鹿區向上路七段315號,速巴路車業,[],3.410377264022827
https://auto.8891.com.tw/usedauto-infos-3982490.html?display__sale_code=&flow_id=6af29049-fed8-4f78-b3c3-81e10cc56d13,台中市,63次瀏覽,五十鈴/Isuzu,S3982490,電洽,N,10.82萬公里,2022年,其他(藍白),N,Not found,台中市烏日區新興路688號,忠泓汽車,[],3.5418925285339355
https://auto.8891.com.tw/usedauto-infos-3981873.html?display__sale_code=&flow_id=afa628f6-5edd-4f4f-a25b-4296630036bf,台中市,139次瀏覽,五十鈴/Isuzu,S3981873,129.9萬,Not found,9萬公里,2021年,白色,N,Not found,台中市大里區大智路812號,8891嚴選來爾富中古車商行,"['胎壓偵測', '動態穩定系統', '防盜系統', '循跡系統', '中控鎖', '剎車輔助系統', '兒童安全椅固定裝置', 'ABS防鎖死', '倒車顯影系統']",3.0122029781341553
https://auto.8891.com.tw/usedauto-infos-3981176.html?display__sale_code=&flow_id=e92880fc-9cc2-4852-8983-2b9d2d8ce4e9,台中市,197次瀏覽,五十鈴/Isuzu,S3981176,119.9萬,Not found,7.9萬公里,2021年,白色,N,Not found,台中市大里區大智路812號,8891嚴選來爾富中古車商行,"['動態穩定系統', '防盜系統', '循跡系統', '中控鎖', '剎車輔助系統', '兒童安全椅固定裝置', 'ABS防鎖死', '倒車顯影系統', '恆溫空調', '真皮/皮革座椅']",3.957681179046631
